,name,score,rank,popularity,members,date,channel
333,Yakitate!! Japan,7.93,#667,#1863,"90,187",Fall 2004,TV
334,Bartender,7.35,#2212,#1993,"81,265",Fall 2006,TV
335,Koufuku Graffiti,6.79,#4834,#2075,"75,302",Winter 2015,TV
336,Moyashimon,7.57,#1435,#2208,"68,571",Fall 2007,TV
337,Isekai Shokudou 2,7.65,#1210,#2254,"66,457",Fall 2021,TV
338,Naruto: Shippuuden - Sunny Side Battle,7.54,#1531,#2352,"61,711",NA,Special
339,Ramen Daisuki Koizumi-san,6.53,#6213,#2449,"57,997",Winter 2018,TV
340,Takunomi.,6.42,#6795,#2874,"42,678",Winter 2018,TV
341,Ristorante Paradiso,7.34,#2264,#2886,"42,325",Spring 2009,TV
342,Wakako-zake,6.63,#5657,#3096,"37,540",Summer 2015,TV
343,Seiyou Kottou Yougashiten: Antique,7.03,#3800,#3196,"35,287",Summer 2008,TV
344,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.42,#1966,#3317,"32,988",NA,ONA
345,Pan de Peace!,5.63,#10413,#3434,"30,516",Spring 2016,TV
346,Cardcaptor Sakura: Kero-chan ni Omakase!,7.33,#2306,#3487,"29,792",NA,Movie
347,Osake wa Fuufu ni Natte kara: Yuzu Atsukan,7.06,#3630,#3569,"28,468",NA,ONA
348,Rokuhou-dou Yotsuiro Biyori,7.62,#1293,#3597,"28,067",Spring 2018,TV
349,Moyashimon Returns,7.21,#2933,#3884,"23,837",Summer 2012,TV
350,"Boku no Imouto wa ""Osaka Okan""",5.77,#9852,#4341,"18,584",Winter 2013,TV
351,Chuuka Ichiban!,7.61,#1317,#4406,"17,915",Spring 1997,TV
352,Tokyo Ghoul,7.8,#880,#7,"2,474,684",Summer 2014,TV
353,Kiseijuu: Sei no Kakuritsu,8.35,#196,#41,"1,622,429",Fall 2014,TV
354,Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
355,Elfen Lied,7.51,#1630,#66,"1,375,382",Summer 2004,TV
356,Highschool of the Dead,7.08,#3561,#69,"1,346,491",Summer 2010,TV
357,Deadman Wonderland,7.17,#3111,#95,"1,120,412",Spring 2011,TV
358,Tokyo Ghoul:re,6.39,#6993,#118,"1,001,033",Spring 2018,TV
359,Devilman: Crybaby,7.77,#935,#123,"952,548",NA,ONA
360,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.23,#2803,#153,"844,823",Summer 2013,TV
361,Hellsing Ultimate,8.36,#191,#165,"813,149",NA,OVA
362,Higurashi no Naku Koro ni,7.9,#722,#202,"732,755",Spring 2006,TV
363,Tokyo Ghoul:re 2nd Season,6.4,#6905,#210,"723,116",Fall 2018,TV
364,Koutetsujou no Kabaneri,7.26,#2703,#211,"721,736",Spring 2016,TV
365,Akira,8.16,#365,#212,"721,082",NA,Movie
366,Shinsekai yori,8.31,#234,#217,"712,730",Fall 2012,TV
367,Hellsing,7.49,#1700,#247,"642,748",Fall 2001,TV
368,Satsuriku no Tenshi,6.95,#4124,#313,"562,370",Summer 2018,TV
369,Perfect Blue,8.52,#106,#315,"558,700",NA,Movie
370,Sankarea,7.3,#2455,#321,"553,060",Spring 2012,TV
371,Shiki,7.75,#991,#330,"540,516",Summer 2010,TV
372,Kenpuu Denki Berserk,8.53,#104,#331,"534,021",Fall 1997,TV
373,Ajin,7.42,#1953,#334,"532,589",Winter 2016,TV
374,Paprika,8.04,#505,#393,"455,771",NA,Movie
375,Dorohedoro,8.07,#479,#417,"434,136",Winter 2020,TV
376,Gakkougurashi!,7.62,#1307,#454,"403,365",Summer 2015,TV
377,Tasogare Otome x Amnesia,7.84,#811,#503,"364,619",Spring 2012,TV
378,Mieruko-chan,7.47,#1761,#508,"361,461",Fall 2021,TV
379,Blood+,7.63,#1258,#531,"350,795",Fall 2005,TV
380,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,6.47,#6504,#543,"342,869",NA,OVA
381,Jigoku Shoujo,7.62,#1310,#579,"326,483",Fall 2005,TV
382,Gantz,7.01,#3870,#580,"326,416",Spring 2004,TV
383,Blood-C,6.53,#6175,#585,"322,914",Summer 2011,TV
384,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.27,#2607,#597,"316,429",Summer 2016,TV
385,Berserk,6.3,#7438,#602,"314,881",Summer 2016,TV
386,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.41,#1980,#682,"284,779",Summer 2016,TV
387,Mononoke,8.43,#149,#710,"275,509",Summer 2007,TV
388,Ajin Part 2,7.6,#1349,#734,"267,840",Fall 2016,TV
389,Happy Sugar Life,6.82,#4697,#770,"253,931",Summer 2018,TV
390,Tenkuu Shinpan,6.75,#5058,#803,"244,295",NA,ONA
391,Boku dake ga Inai Machi,8.32,#223,#32,"1,814,114",Winter 2016,TV
392,Yakusoku no Neverland,8.54,#97,#39,"1,673,213",Winter 2019,TV
393,Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
394,Durarara!!,8.12,#417,#78,"1,284,937",Winter 2010,TV
395,Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
396,Kakegurui,7.26,#2700,#81,"1,259,191",Summer 2017,TV
397,Hyouka,8.1,#446,#87,"1,206,576",Spring 2012,TV
398,Bungou Stray Dogs,7.82,#848,#91,"1,132,767",Spring 2016,TV
399,Made in Abyss,8.68,#53,#94,"1,124,760",Summer 2017,TV
400,Kuroshitsuji,7.68,#1154,#107,"1,061,510",Fall 2008,TV
401,Zankyou no Terror,8.1,#442,#112,"1,019,493",Summer 2014,TV
402,Darker than Black: Kuro no Keiyakusha,8.08,#467,#149,"860,681",Spring 2007,TV
403,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.23,#2803,#153,"844,823",Summer 2013,TV
404,Monster,8.83,#27,#154,"842,541",Spring 2004,TV
405,Suzumiya Haruhi no Yuuutsu,7.84,#810,#155,"842,263",Spring 2006,TV
406,Black Bullet,7.11,#3404,#157,"840,558",Spring 2014,TV
407,Baccano!,8.38,#176,#162,"825,160",Summer 2007,TV
408,Kami no Tou,7.57,#1432,#183,"763,796",Spring 2020,TV
409,Mushishi,8.67,#56,#201,"735,543",Fall 2005,TV
410,Higurashi no Naku Koro ni,7.9,#722,#202,"732,755",Spring 2006,TV
411,Shinsekai yori,8.31,#234,#217,"712,730",Fall 2012,TV
412,K,7.45,#1836,#223,"699,070",Fall 2012,TV
413,Bungou Stray Dogs 2nd Season,8.2,#330,#224,"697,551",Fall 2016,TV
414,Yamada-kun to 7-nin no Majo (TV),7.57,#1449,#225,"696,097",Spring 2015,TV
415,Nisemonogatari,8.15,#382,#230,"673,806",Winter 2012,TV
416,Serial Experiments Lain,8.07,#487,#259,"627,051",Summer 1998,TV
417,Monogatari Series: Second Season,8.78,#35,#273,"607,416",Summer 2013,TV
418,Rokka no Yuusha,7.3,#2454,#305,"572,306",Summer 2015,TV
419,Ergo Proxy,7.91,#691,#306,"570,050",Winter 2006,TV
420,Suzumiya Haruhi no Shoushitsu,8.62,#75,#317,"558,126",NA,Movie
421,Vampire Knight,6.91,#4314,#319,"556,803",Spring 2008,TV
422,Zetsuen no Tempest,7.93,#669,#323,"551,986",Fall 2012,TV
423,Shiki,7.75,#991,#330,"540,516",Summer 2010,TV
424,Ajin,7.42,#1953,#334,"532,589",Winter 2016,TV
425,Great Pretender,8.26,#268,#340,"525,692",Summer 2020,TV
426,Higashi no Eden,7.78,#925,#341,"523,976",Spring 2009,TV
427,Gosick,8.07,#483,#362,"491,860",Winter 2011,TV
428,Bungou Stray Dogs 3rd Season,8.21,#312,#366,"487,535",Spring 2019,TV
429,Suzumiya Haruhi no Yuuutsu (2009),7.22,#2863,#367,"484,328",Spring 2009,TV
430,Sword Art Online,7.2,#2964,#5,"2,737,387",Summer 2012,TV
431,Toradora!,8.11,#438,#18,"1,964,127",Fall 2008,TV
432,Shigatsu wa Kimi no Uso,8.67,#57,#21,"1,923,015",Fall 2014,TV
433,Sword Art Online II,6.71,#5245,#33,"1,764,941",Summer 2014,TV
434,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.28,#252,#57,"1,448,376",Fall 2018,TV
435,Darling in the FranXX,7.24,#2776,#61,"1,409,098",Winter 2018,TV
436,Elfen Lied,7.51,#1630,#66,"1,375,382",Summer 2004,TV
437,Hataraku Maou-sama!,7.78,#923,#67,"1,353,769",Spring 2013,TV
438,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.57,#1424,#71,"1,342,088",Spring 2015,TV
439,Clannad,8.01,#552,#77,"1,291,373",Fall 2007,TV
440,Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
441,High School DxD,7.35,#2221,#80,"1,262,641",Winter 2012,TV
442,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.02,#539,#82,"1,252,814",Spring 2013,TV
443,Chuunibyou demo Koi ga Shitai!,7.72,#1055,#86,"1,210,600",Fall 2012,TV
444,Sakura-sou no Pet na Kanojo,8.11,#435,#93,"1,127,474",Fall 2012,TV
445,Howl no Ugoku Shiro,8.66,#61,#96,"1,119,478",NA,Movie
446,Kaichou wa Maid-sama!,8.02,#548,#98,"1,114,545",Spring 2010,TV
447,Clannad: After Story,8.94,#18,#105,"1,075,204",Fall 2008,TV
448,Nisekoi,7.6,#1341,#109,"1,052,513",Winter 2014,TV
449,Horimiya,8.21,#314,#115,"1,013,233",Winter 2021,TV
450,Ouran Koukou Host Club,8.16,#362,#117,"1,004,722",Spring 2006,TV
451,Tonari no Kaibutsu-kun,7.49,#1718,#122,"954,303",Fall 2012,TV
452,Mahouka Koukou no Rettousei,7.44,#1899,#125,"941,460",Spring 2014,TV
453,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.23,#300,#130,"928,207",Spring 2015,TV
454,Date A Live,7.17,#3108,#137,"908,562",Spring 2013,TV
455,ReLIFE,7.99,#584,#139,"905,559",Summer 2016,TV
456,Golden Time,7.75,#981,#141,"899,920",Fall 2013,TV
457,Prison School,7.63,#1280,#145,"883,332",Summer 2015,TV
458,Fate/stay night,7.29,#2515,#148,"863,275",Winter 2006,TV
459,Byousoku 5 Centimeter,7.61,#1316,#156,"841,883",NA,Movie
460,Gekkan Shoujo Nozaki-kun,7.86,#780,#159,"836,640",Summer 2014,TV
461,Plastic Memories,7.92,#674,#161,"829,064",Spring 2015,TV
462,Rakudai Kishi no Cavalry,7.47,#1765,#163,"823,694",Fall 2015,TV
463,High School DxD New,7.49,#1704,#164,"822,673",Summer 2013,TV
464,Wotaku ni Koi wa Muzukashii,7.95,#639,#166,"810,395",Spring 2018,TV
465,Kimi ni Todoke,8,#573,#168,"803,426",Fall 2009,TV
466,Ao Haru Ride,7.65,#1202,#169,"801,995",Summer 2014,TV
467,Tenki no Ko,8.32,#220,#171,"789,960",NA,Movie
468,"Kanojo, Okarishimasu",7.24,#2790,#173,"784,210",Summer 2020,TV
469,5-toubun no Hanayome,7.68,#1140,#179,"769,985",Winter 2019,TV
470,Steins;Gate,9.08,#5,#13,"2,225,913",Spring 2011,TV
471,Code Geass: Hangyaku no Lelouch,8.7,#50,#17,"1,976,759",Fall 2006,TV
472,Yakusoku no Neverland,8.54,#97,#39,"1,673,213",Winter 2019,TV
473,Kiseijuu: Sei no Kakuritsu,8.35,#196,#41,"1,622,429",Fall 2014,TV
474,Cowboy Bebop,8.76,#37,#42,"1,603,597",Spring 1998,TV
475,Code Geass: Hangyaku no Lelouch R2,8.91,#20,#47,"1,558,951",Spring 2008,TV
476,Neon Genesis Evangelion,8.34,#201,#50,"1,539,612",Fall 1995,TV
477,Psycho-Pass,8.35,#198,#55,"1,455,814",Fall 2012,TV
478,Tengen Toppa Gurren Lagann,8.64,#68,#59,"1,436,522",Spring 2007,TV
479,Dr. Stone,8.3,#242,#60,"1,426,995",Summer 2019,TV
480,Darling in the FranXX,7.24,#2776,#61,"1,409,098",Winter 2018,TV
481,Made in Abyss,8.68,#53,#94,"1,124,760",Summer 2017,TV
482,Deadman Wonderland,7.17,#3111,#95,"1,120,412",Spring 2011,TV
483,Guilty Crown,7.44,#1892,#97,"1,115,333",Fall 2011,TV
484,Mahouka Koukou no Rettousei,7.44,#1899,#125,"941,460",Spring 2014,TV
485,Gintama,8.95,#16,#127,"938,547",Spring 2006,TV
486,Date A Live,7.17,#3108,#137,"908,562",Spring 2013,TV
487,Darker than Black: Kuro no Keiyakusha,8.08,#467,#149,"860,681",Spring 2007,TV
488,Suzumiya Haruhi no Yuuutsu,7.84,#810,#155,"842,263",Spring 2006,TV
489,Black Bullet,7.11,#3404,#157,"840,558",Spring 2014,TV
490,Plastic Memories,7.92,#674,#161,"829,064",Spring 2015,TV
491,Dr. Stone: Stone Wars,8.18,#353,#167,"807,789",Winter 2021,TV
492,Yakusoku no Neverland 2nd Season,5.37,#11229,#170,"795,080",Winter 2021,TV
493,Btooom!,7.31,#2400,#172,"785,114",Fall 2012,TV
494,Neon Genesis Evangelion: The End of Evangelion,8.55,#93,#175,"781,771",NA,Movie
495,Steins;Gate 0,8.52,#107,#188,"755,214",Spring 2018,TV
496,The God of High School,7.07,#3617,#190,"751,238",Summer 2020,TV
497,Toaru Majutsu no Index,7.38,#2110,#198,"738,165",Fall 2008,TV
498,FLCL,8.03,#525,#207,"725,797",NA,OVA
499,Akira,8.16,#365,#212,"721,082",NA,Movie
500,Orange,7.62,#1290,#213,"721,055",Summer 2016,TV
501,Toki wo Kakeru Shoujo,8.14,#386,#214,"719,883",NA,Movie
502,Shinsekai yori,8.31,#234,#217,"712,730",Fall 2012,TV
503,Accel World,7.25,#2707,#234,"666,001",Spring 2012,TV
504,Kiznaiver,7.39,#2067,#236,"661,129",Spring 2016,TV
505,Trigun,8.22,#305,#240,"654,543",Spring 1998,TV
506,Serial Experiments Lain,8.07,#487,#259,"627,051",Summer 1998,TV
507,Psycho-Pass 2,7.4,#2018,#285,"592,749",Fall 2014,TV
508,Gakusen Toshi Asterisk,6.84,#4613,#286,"591,992",Fall 2015,TV
509,IS: Infinite Stratos,6.66,#5512,#293,"585,224",Winter 2011,TV
510,Violet Evergarden,8.67,#58,#51,"1,492,618",Winter 2018,TV
511,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
512,Hyouka,8.1,#446,#87,"1,206,576",Spring 2012,TV
513,Kobayashi-san Chi no Maid Dragon,8,#574,#103,"1,077,756",Winter 2017,TV
514,Kyoukai no Kanata,7.74,#1014,#110,"1,047,235",Fall 2013,TV
515,ReLIFE,7.99,#584,#139,"905,559",Summer 2016,TV
516,Suzumiya Haruhi no Yuuutsu,7.84,#810,#155,"842,263",Spring 2006,TV
517,Byousoku 5 Centimeter,7.61,#1316,#156,"841,883",NA,Movie
518,Kimi ni Todoke,8,#573,#168,"803,426",Fall 2009,TV
519,Ao Haru Ride,7.65,#1202,#169,"801,995",Summer 2014,TV
520,Tenki no Ko,8.32,#220,#171,"789,960",NA,Movie
521,Mahoutsukai no Yome,8.07,#486,#177,"777,196",Fall 2017,TV
522,Kimi no Suizou wo Tabetai,8.57,#89,#187,"759,212",NA,Movie
523,Kotonoha no Niwa,7.92,#685,#189,"751,916",NA,Movie
524,Mushishi,8.67,#56,#201,"735,543",Fall 2005,TV
525,Ookami Kodomo no Ame to Yuki,8.59,#77,#203,"732,028",NA,Movie
526,Beastars,7.89,#727,#209,"723,191",Fall 2019,TV
527,Sono Bisque Doll wa Koi wo Suru,8.39,#170,#241,"648,164",Winter 2022,TV
528,3-gatsu no Lion,8.39,#172,#276,"601,273",Fall 2016,TV
529,Barakamon,8.39,#173,#282,"595,618",Summer 2014,TV
530,Nana,8.51,#114,#327,"543,100",Spring 2006,TV
531,Suzumiya Haruhi no Yuuutsu (2009),7.22,#2863,#367,"484,328",Spring 2009,TV
532,Natsume Yuujinchou,8.32,#215,#371,"480,283",Summer 2008,TV
533,Given,8.35,#195,#387,"461,712",Summer 2019,TV
534,Usagi Drop,8.38,#182,#399,"450,864",Summer 2011,TV
535,Kobayashi-san Chi no Maid Dragon S,8.38,#180,#412,"438,431",Summer 2021,TV
536,Violet Evergarden Movie,8.95,#17,#422,"431,215",NA,Movie
537,Love Live! School Idol Project,7.41,#1993,#436,"413,732",Winter 2013,TV
538,Chihayafuru,8.2,#331,#437,"413,492",Fall 2011,TV
539,Tanaka-kun wa Itsumo Kedaruge,7.86,#769,#448,"406,294",Spring 2016,TV
540,Kimi ni Todoke 2nd Season,7.99,#580,#452,"403,933",Winter 2011,TV
541,Gakkougurashi!,7.62,#1307,#454,"403,365",Summer 2015,TV
542,Non Non Biyori,7.95,#637,#479,"384,294",Fall 2013,TV
543,Tamako Market,7.39,#2088,#491,"375,724",Winter 2013,TV
544,Beastars 2nd Season,7.86,#774,#507,"361,560",Winter 2021,TV
545,Bokura wa Minna Kawai-sou,7.68,#1142,#524,"353,642",Spring 2014,TV
546,3-gatsu no Lion 2nd Season,8.96,#14,#533,"349,682",Fall 2017,TV
547,Blue Period,7.86,#776,#558,"334,767",Fall 2021,TV
548,Tamako Love Story,7.94,#646,#560,"332,599",NA,Movie
549,Haikyuu!!,8.45,#136,#38,"1,682,232",Spring 2014,TV
550,Haikyuu!! Second Season,8.65,#63,#83,"1,230,807",Fall 2015,TV
551,Kuroko no Basket,8.08,#475,#108,"1,052,442",Spring 2012,TV
552,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79,#32,#111,"1,027,725",Fall 2016,TV
553,Yuri!!! on Ice,7.91,#707,#176,"780,721",Fall 2016,TV
554,Haikyuu!! To the Top,8.36,#190,#182,"763,849",Winter 2020,TV
555,Kuroko no Basket 2nd Season,8.23,#294,#192,"748,602",Fall 2013,TV
556,Free!,7.34,#2290,#206,"726,768",Summer 2013,TV
557,Kuroko no Basket 3rd Season,8.31,#231,#237,"660,866",Winter 2015,TV
558,Haikyuu!! To the Top Part 2,8.54,#99,#243,"645,157",Fall 2020,TV
559,Hajime no Ippo,8.74,#42,#376,"477,248",Fall 2000,TV
560,Megalo Box,7.89,#731,#396,"452,407",Spring 2018,TV
561,Chihayafuru,8.2,#331,#437,"413,492",Fall 2011,TV
562,Free! Eternal Summer,7.64,#1240,#486,"379,869",Summer 2014,TV
563,Keijo!!!!!!!!,6.95,#4108,#512,"360,829",Fall 2016,TV
564,Ping Pong the Animation,8.62,#72,#550,"339,880",Spring 2014,TV
565,Ballroom e Youkoso,8.19,#336,#669,"289,392",Summer 2017,TV
566,Kaze ga Tsuyoku Fuiteiru,8.41,#160,#757,"259,466",Fall 2018,TV
567,Slam Dunk,8.54,#95,#776,"253,273",Fall 1993,TV
568,Kuroko no Basket Movie 4: Last Game,8.08,#476,#796,"246,682",NA,Movie
569,Haikyuu!! Riku vs. Kuu,7.82,#850,#798,"245,904",NA,OVA
570,Hajime no Ippo: New Challenger,8.66,#60,#812,"240,643",Winter 2009,TV
571,Diamond no Ace,8.1,#444,#895,"218,042",Fall 2013,TV
572,Hajime no Ippo: Rising,8.59,#78,#910,"213,973",Fall 2013,TV
573,One Outs,8.34,#202,#913,"213,208",Fall 2008,TV
574,Chihayafuru 2,8.4,#161,#914,"213,192",Winter 2013,TV
575,Yowamushi Pedal,7.95,#641,#925,"210,817",Fall 2013,TV
576,Aoharu x Kikanjuu,7.17,#3100,#944,"206,920",Summer 2015,TV
577,Inazuma Eleven,7.65,#1209,#1049,"182,451",Fall 2008,TV
578,Ahiru no Sora,7.29,#2499,#1110,"172,111",Fall 2019,TV
579,Hoshiai no Sora,7.59,#1374,#1129,"170,289",Fall 2019,TV
580,Eyeshield 21,7.92,#681,#1149,"167,972",Spring 2005,TV
581,Nomad: Megalo Box 2,8.21,#319,#1157,"167,633",Spring 2021,TV
582,Keppeki Danshi! Aoyama-kun,6.97,#4024,#1159,"167,610",Summer 2017,TV
583,Tennis no Ouji-sama,7.87,#764,#1169,"165,125",Fall 2001,TV
584,Prince of Stride: Alternative,6.91,#4302,#1179,"163,411",Winter 2016,TV
585,Free! Dive to the Future,7.61,#1321,#1204,"159,491",Summer 2018,TV
586,Hanebado!,6.87,#4460,#1299,"145,451",Summer 2018,TV
587,Ao no Kanata no Four Rhythm,6.66,#5488,#1341,"140,044",Winter 2016,TV
588,Death Note,8.62,#71,#2,"3,385,921",Fall 2006,TV
589,Kimi no Na wa.,8.87,#24,#11,"2,341,059",NA,Movie
590,Angel Beats!,8.08,#466,#24,"1,891,714",Spring 2010,TV
591,Mirai Nikki (TV),7.45,#1845,#29,"1,824,520",Fall 2011,TV
592,Mob Psycho 100,8.48,#124,#36,"1,713,971",Summer 2016,TV
593,Sen to Chihiro no Kamikakushi,8.78,#36,#43,"1,599,914",NA,Movie
594,Death Parade,8.17,#354,#49,"1,541,285",Winter 2015,TV
595,Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
596,Soul Eater,7.84,#809,#54,"1,457,675",Spring 2008,TV
597,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
598,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.28,#252,#57,"1,448,376",Fall 2018,TV
599,JoJo no Kimyou na Bouken (TV),7.92,#683,#65,"1,395,381",Fall 2012,TV
600,Elfen Lied,7.51,#1630,#66,"1,375,382",Summer 2004,TV
601,Hataraku Maou-sama!,7.78,#923,#67,"1,353,769",Spring 2013,TV
602,Fate/Zero,8.29,#246,#68,"1,346,866",Fall 2011,TV
603,Highschool of the Dead,7.08,#3561,#69,"1,346,491",Summer 2010,TV
604,Overlord,7.92,#672,#72,"1,337,348",Summer 2015,TV
605,Clannad,8.01,#552,#77,"1,291,373",Fall 2007,TV
606,Durarara!!,8.12,#417,#78,"1,284,937",Winter 2010,TV
607,Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
608,Mob Psycho 100 II,8.81,#28,#85,"1,222,687",Winter 2019,TV
609,Owari no Seraph,7.49,#1714,#88,"1,160,973",Spring 2015,TV
610,Bungou Stray Dogs,7.82,#848,#91,"1,132,767",Spring 2016,TV
611,Deadman Wonderland,7.17,#3111,#95,"1,120,412",Spring 2011,TV
612,Enen no Shouboutai,7.69,#1115,#104,"1,076,809",Summer 2019,TV
613,Clannad: After Story,8.94,#18,#105,"1,075,204",Fall 2008,TV
614,Kuroshitsuji,7.68,#1154,#107,"1,061,510",Fall 2008,TV
615,Kyoukai no Kanata,7.74,#1014,#110,"1,047,235",Fall 2013,TV
616,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,#447,#116,"1,011,723",Spring 2014,TV
617,Dororo,8.23,#290,#119,"1,000,239",Winter 2019,TV
618,Fate/Zero 2nd Season,8.57,#87,#120,"997,872",Spring 2012,TV
619,Nanatsu no Taizai: Imashime no Fukkatsu,7.64,#1223,#121,"991,313",Winter 2018,TV
620,Devilman: Crybaby,7.77,#935,#123,"952,548",NA,ONA
621,Mahouka Koukou no Rettousei,7.44,#1899,#125,"941,460",Spring 2014,TV
622,Fate/stay night: Unlimited Blade Works,8.19,#337,#126,"940,311",Fall 2014,TV
623,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,#121,#131,"924,901",Spring 2016,TV
624,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,#145,#134,"922,704",Winter 2015,TV
625,Tokyo Revengers,8.14,#387,#135,"922,031",Spring 2021,TV
626,Tonari no Totoro,8.26,#267,#136,"917,246",NA,Movie
627,Death Note,8.62,#71,#2,"3,385,921",Fall 2006,TV
628,Steins;Gate,9.08,#5,#13,"2,225,913",Spring 2011,TV
629,Re:Zero kara Hajimeru Isekai Seikatsu,8.25,#275,#23,"1,911,745",Spring 2016,TV
630,Mirai Nikki (TV),7.45,#1845,#29,"1,824,520",Fall 2011,TV
631,Yakusoku no Neverland,8.54,#97,#39,"1,673,213",Winter 2019,TV
632,Death Parade,8.17,#354,#49,"1,541,285",Winter 2015,TV
633,Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
634,Psycho-Pass,8.35,#198,#55,"1,455,814",Fall 2012,TV
635,Zankyou no Terror,8.1,#442,#112,"1,019,493",Summer 2014,TV
636,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.37,#185,#132,"924,589",Summer 2020,TV
637,Monster,8.83,#27,#154,"842,541",Spring 2004,TV
638,Yakusoku no Neverland 2nd Season,5.37,#11229,#170,"795,080",Winter 2021,TV
639,Steins;Gate 0,8.52,#107,#188,"755,214",Spring 2018,TV
640,Higurashi no Naku Koro ni,7.9,#722,#202,"732,755",Spring 2006,TV
641,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.49,#123,#226,"691,785",Winter 2021,TV
642,Psycho-Pass 2,7.4,#2018,#285,"592,749",Fall 2014,TV
643,Satsuriku no Tenshi,6.95,#4124,#313,"562,370",Summer 2018,TV
644,Shiki,7.75,#991,#330,"540,516",Summer 2010,TV
645,Higashi no Eden,7.78,#925,#341,"523,976",Spring 2009,TV
646,Paprika,8.04,#505,#393,"455,771",NA,Movie
647,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,#13,#402,"448,135",Spring 2022,TV
648,Higurashi no Naku Koro ni Kai,8.19,#340,#410,"441,363",Summer 2007,TV
649,Vivy: Fluorite Eye's Song,8.45,#139,#435,"414,950",Spring 2021,TV
650,Kara no Kyoukai Movie 1: Fukan Fuukei,7.59,#1375,#476,"385,597",NA,Movie
651,Mousou Dairinin,7.67,#1171,#518,"356,956",Winter 2004,TV
652,Rainbow: Nisha Rokubou no Shichinin,8.49,#122,#519,"356,826",Spring 2010,TV
653,Yuukoku no Moriarty,8.14,#388,#598,"316,205",Fall 2020,TV
654,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,#257,#611,"310,381",Fall 2007,TV
655,Phantom: Requiem for the Phantom,7.97,#606,#615,"308,589",Spring 2009,TV
656,B: The Beginning,7.22,#2872,#620,"305,997",NA,ONA
657,C: The Money of Soul and Possibility Control,7.2,#2981,#686,"283,102",Spring 2011,TV
658,Munou na Nana,7.2,#2956,#736,"266,233",Fall 2020,TV
659,Higurashi no Naku Koro ni Gou,7.2,#2992,#830,"233,795",Fall 2020,TV
660,Psycho-Pass 3,7.47,#1764,#841,"231,048",Fall 2019,TV
661,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,#277,#859,"225,960",NA,Special
662,Gankutsuou,8.15,#377,#864,"224,961",Fall 2004,TV
663,Ga-Rei: Zero,7.6,#1358,#869,"224,422",Fall 2008,TV
664,Death Billiards,7.9,#715,#886,"220,358",NA,Movie
