,name,score,rank,popularity,members,date,channel
75,Dragon Ball,7.96,#617,#140,"904,810",Winter 1986,TV
76,Sword Art Online: Alicization,7.56,#1459,#144,"890,854",Fall 2018,TV
77,Fairy Tail (2014),7.66,#1196,#146,"877,396",Spring 2014,TV
78,Overlord II,7.76,#955,#152,"844,894",Winter 2018,TV
79,Neon Genesis Evangelion,8.34,#201,#50,"1,539,612",Fall 1995,TV
80,Devilman: Crybaby,7.77,#935,#123,"952,548",NA,ONA
81,Neon Genesis Evangelion: The End of Evangelion,8.55,#93,#175,"781,771",NA,Movie
82,FLCL,8.03,#525,#207,"725,797",NA,OVA
83,Serial Experiments Lain,8.07,#487,#259,"627,051",Summer 1998,TV
84,Perfect Blue,8.52,#106,#315,"558,700",NA,Movie
85,Paprika,8.04,#505,#393,"455,771",NA,Movie
86,Mousou Dairinin,7.67,#1171,#518,"356,956",Winter 2004,TV
87,Mawaru Penguindrum,7.96,#613,#701,"277,557",Summer 2011,TV
88,Boogiepop wa Warawanai (2019),7.08,#3547,#948,"205,176",Winter 2019,TV
89,FLCL Progressive,6.38,#7027,#1490,"120,441",NA,Movie
90,Tenshi no Tamago,7.7,#1096,#1494,"119,792",NA,OVA
91,Boogiepop wa Warawanai,7.15,#3210,#1553,"114,863",Winter 2000,TV
92,Yami Shibai,7.01,#3901,#1778,"96,555",Summer 2013,TV
93,Higurashi no Naku Koro ni Sotsu,6.77,#4927,#1886,"88,125",Summer 2021,TV
94,FLCL Alternative,6.53,#6186,#1917,"86,406",NA,Movie
95,Mind Game,7.78,#910,#2154,"71,243",NA,Movie
96,Uzumaki,N/A,N/A,#2170,"70,349",Fall 2022,TV
97,Nekojiru-sou,7.32,#2352,#2187,"69,486",NA,OVA
98,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.62,#1297,#2773,"45,395",NA,Movie
99,Yami Shibai 2,6.5,#6365,#2796,"44,629",Summer 2014,TV
100,Nihon Animator Mihonichi,7.35,#2233,#3112,"37,084",NA,ONA
101,Panty & Stocking in Sanitarybox,6.39,#6983,#3177,"35,646",NA,Special
102,Kanashimi no Belladonna,7.12,#3391,#3208,"35,065",NA,Movie
103,Genius Party,7.17,#3118,#3224,"34,778",NA,Movie
104,Yami Shibai 3,6.32,#7319,#3272,"33,935",Winter 2016,TV
105,Puparia,7.62,#1292,#3314,"33,064",NA,ONA
106,Yami Shibai 4,5.77,#9888,#3708,"26,304",Winter 2017,TV
107,Yami Shibai 5,6.3,#7431,#3902,"23,544",Summer 2017,TV
108,Poputepipikku TV Special,7.34,#2263,#4006,"22,292",NA,Special
109,Inaka Isha,6.68,#5386,#4247,"19,363",NA,Movie
110,Yami Shibai 6,6.15,#8226,#4317,"18,864",Summer 2018,TV
111,Utsu Musume Sayuri,1.98,#12603,#4328,"18,736",NA,OVA
112,Genius Party Beyond,7.2,#2990,#4362,"18,350",NA,Movie
113,Yami Shibai 7,5.96,#9147,#4456,"17,448",Summer 2019,TV
114,Kaze no Na wa Amnesia,6.34,#7234,#4538,"16,738",NA,Movie
115,Nami,2.25,#12601,#4695,"15,278",NA,Movie
116,FLCL: Grunge,N/A,N/A,#4879,"13,793",NA,TV
117,Yami Shibai 8,5.74,#9999,#5126,"12,337",Winter 2021,TV
118,1001 Nights,6.3,#7435,#5130,"12,288",NA,Movie
119,Sen to Chihiro no Kamikakushi,8.78,#36,#43,"1,599,914",NA,Movie
120,Tsumiki no Ie,8.03,#532,#1878,"88,416",NA,Movie
121,Takano Kousaten,6.84,#4585,#11913,892,NA,Movie
122,Candy.zip,5.89,#9407,#15054,324,NA,Movie
123,Look at Me Only,6.18,#8061,#15358,299,NA,Movie
124,Pukkulapottas to Mori no Jikan,N/A,#13713,#17972,139,NA,Movie
125,Changbaekhan Eolkuldeul,N/A,#16277,#18231,123,NA,Movie
126,Given,8.35,#195,#387,"461,712",Summer 2019,TV
127,Junjou Romantica,7.54,#1556,#825,"235,901",Spring 2008,TV
128,Love Stage!!,7.23,#2825,#826,"235,892",Summer 2014,TV
129,Doukyuusei (Movie),8.31,#227,#852,"227,596",NA,Movie
130,Sekaiichi Hatsukoi,7.69,#1127,#965,"202,183",Spring 2011,TV
131,Given Movie,8.16,#369,#1038,"184,101",NA,Movie
132,Junjou Romantica 2,7.75,#986,#1145,"168,148",Fall 2008,TV
133,Boku no Pico,4.24,N/A,#1152,"167,893",NA,OVA
134,Hitorijime My Hero,7.34,#2296,#1297,"145,836",Summer 2017,TV
135,Sekaiichi Hatsukoi 2,7.88,#741,#1298,"145,754",Fall 2011,TV
136,Loveless,6.79,#4835,#1389,"132,768",Spring 2005,TV
137,Dakaretai Otoko 1-i ni Odosarete Imasu.,7.41,#1979,#1398,"131,581",Fall 2018,TV
138,Super Lovers,6.91,#4308,#1404,"131,109",Spring 2016,TV
139,Sasaki to Miyano,8.28,#251,#1544,"115,609",Winter 2022,TV
140,Gravitation,6.96,#4080,#1586,"112,035",Fall 2000,TV
141,Junjou Romantica 3,7.66,#1199,#1593,"110,943",Summer 2015,TV
142,Uragiri wa Boku no Namae wo Shitteiru,7.22,#2867,#1826,"92,767",Spring 2010,TV
143,Togainu no Chi,6.25,#7718,#1970,"83,033",Fall 2010,TV
144,Super Lovers 2,7.16,#3169,#1994,"81,235",Winter 2017,TV
145,Ling Qi,7.18,#3097,#2000,"80,847",NA,ONA
146,Hybrid Child,7.57,#1431,#2119,"72,851",NA,OVA
147,Pico to Chico,4.36,N/A,#2236,"67,491",NA,OVA
148,Sekaiichi Hatsukoi OVA,7.89,#734,#2253,"66,475",NA,OVA
149,Koisuru Boukun,6.98,N/A,#2294,"64,306",NA,OVA
150,Pico x CoCo x Chico,4.34,N/A,#2320,"63,241",NA,OVA
151,Gakuen Heaven,6.49,#6418,#2326,"62,943",Spring 2006,TV
152,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.88,#742,#2375,"60,617",NA,Movie
153,Given: Uragawa no Sonzai,8.16,#370,#2404,"59,672",NA,OVA
154,Love Stage!!: Chotto ja Nakutte,7.41,#1994,#2414,"59,301",NA,OVA
155,Monochrome Factor,6.96,#4054,#2478,"56,689",Spring 2008,TV
156,Yami no Matsuei,7.04,#3743,#2578,"51,959",Fall 2000,TV
157,Junjou Romantica OVA,7.73,#1026,#2612,"51,033",NA,OVA
158,Kirepapa.,6.62,N/A,#2614,"51,000",NA,OVA
159,Papa to Kiss in the Dark,5.92,N/A,#2722,"47,424",NA,OVA
160,Suki na Mono wa Suki Dakara Shou ga Nai!!,6.67,#5455,#2730,"47,130",Winter 2005,TV
161,Tight-rope,7.01,#3895,#2757,"45,868",NA,OVA
162,Seitokaichou ni Chuukoku,6.95,N/A,#2759,"45,850",NA,OVA
163,Sensitive Pornograph,6.68,N/A,#2834,"43,477",NA,OVA
164,One Punch Man,8.51,#115,#4,"2,778,154",Fall 2015,TV
165,No Game No Life,8.11,#432,#15,"2,143,369",Spring 2014,TV
166,Ansatsu Kyoushitsu,8.1,#443,#35,"1,720,912",Winter 2015,TV
167,Mob Psycho 100,8.48,#124,#36,"1,713,971",Summer 2016,TV
168,Kono Subarashii Sekai ni Shukufuku wo!,8.12,#421,#37,"1,686,241",Winter 2016,TV
169,Kill la Kill,8.05,#499,#48,"1,541,308",Fall 2013,TV
170,Soul Eater,7.84,#809,#54,"1,457,675",Spring 2008,TV
171,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.28,#252,#57,"1,448,376",Fall 2018,TV
172,Tengen Toppa Gurren Lagann,8.64,#68,#59,"1,436,522",Spring 2007,TV
173,Dr. Stone,8.3,#242,#60,"1,426,995",Summer 2019,TV
174,One Punch Man 2nd Season,7.46,#1785,#62,"1,405,024",Spring 2019,TV
175,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,#166,#63,"1,403,485",Winter 2019,TV
176,Hataraku Maou-sama!,7.78,#923,#67,"1,353,769",Spring 2013,TV
177,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.57,#1424,#71,"1,342,088",Spring 2015,TV
178,Black Clover,8.12,#411,#73,"1,333,001",Fall 2017,TV
179,Kono Subarashii Sekai ni Shukufuku wo! 2,8.28,#259,#75,"1,303,609",Winter 2017,TV
180,High School DxD,7.35,#2220,#80,"1,262,641",Winter 2012,TV
181,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.02,#539,#82,"1,252,814",Spring 2013,TV
182,Ansatsu Kyoushitsu 2nd Season,8.51,#110,#84,"1,224,139",Winter 2016,TV
183,Mob Psycho 100 II,8.81,#28,#85,"1,222,687",Winter 2019,TV
184,Chuunibyou demo Koi ga Shitai!,7.72,#1055,#86,"1,210,600",Fall 2012,TV
